{'test_size': 0.5, 'outlier_ratio': None, 'random_outlier': True, 'metric': 'euclidean', 'm': 0.7, 'reg': 0.1, 'algo': 'parial-order-gromov', 'accuracy_1': 0.6333333333333333, 'f1_macro_1': 0.6283473943400559, 'f1_micro_1': 0.6333333333333333, 'accuracy_3': 0.5416666666666666, 'f1_macro_3': 0.5320874979177078, 'f1_micro_3': 0.5416666666666666, 'accuracy_5': 0.5666666666666667, 'f1_macro_5': 0.5512765785431321, 'f1_micro_5': 0.5666666666666667, 'accuracy_7': 0.49166666666666664, 'f1_macro_7': 0.4848595522124934, 'f1_micro_7': 0.49166666666666664}
{'test_size': 0.5, 'outlier_ratio': None, 'random_outlier': True, 'metric': 'euclidean', 'm': 0.7, 'reg': 0.1, 'algo': 'parial-order-gromov', 'accuracy_1': 0.5833333333333334, 'f1_macro_1': 0.5729070145540734, 'f1_micro_1': 0.5833333333333334, 'accuracy_3': 0.475, 'f1_macro_3': 0.45531470007700914, 'f1_micro_3': 0.47500000000000003, 'accuracy_5': 0.43333333333333335, 'f1_macro_5': 0.4142084242865227, 'f1_micro_5': 0.43333333333333335, 'accuracy_7': 0.4, 'f1_macro_7': 0.37981535751975126, 'f1_micro_7': 0.4000000000000001}
{'test_size': 0.5, 'outlier_ratio': None, 'random_outlier': True, 'metric': 'euclidean', 'm': 0.7, 'reg': 0.1, 'algo': 'parial-order-gromov', 'accuracy_1': 0.625, 'f1_macro_1': 0.6175251812302698, 'f1_micro_1': 0.625, 'accuracy_3': 0.575, 'f1_macro_3': 0.56124330055909, 'f1_micro_3': 0.575, 'accuracy_5': 0.5583333333333333, 'f1_macro_5': 0.541714392191472, 'f1_micro_5': 0.5583333333333333, 'accuracy_7': 0.5333333333333333, 'f1_macro_7': 0.5246273924233621, 'f1_micro_7': 0.5333333333333333}
{'test_size': 0.5, 'outlier_ratio': None, 'random_outlier': True, 'metric': 'euclidean', 'm': 0.7, 'reg': 0.1, 'algo': 'parial-order-gromov', 'accuracy_1': 0.5583333333333333, 'f1_macro_1': 0.5592004662004662, 'f1_micro_1': 0.5583333333333333, 'accuracy_3': 0.425, 'f1_macro_3': 0.4106911755809632, 'f1_micro_3': 0.425, 'accuracy_5': 0.4666666666666667, 'f1_macro_5': 0.45617361660987993, 'f1_micro_5': 0.4666666666666667, 'accuracy_7': 0.425, 'f1_macro_7': 0.403323598852203, 'f1_micro_7': 0.425}
{'test_size': 0.5, 'outlier_ratio': None, 'random_outlier': True, 'metric': 'euclidean', 'm': 0.7, 'reg': 0.1, 'algo': 'parial-order-gromov', 'accuracy_1': 0.675, 'f1_macro_1': 0.6690080643993688, 'f1_micro_1': 0.675, 'accuracy_3': 0.5333333333333333, 'f1_macro_3': 0.5272002381190698, 'f1_micro_3': 0.5333333333333333, 'accuracy_5': 0.5333333333333333, 'f1_macro_5': 0.5223507247938194, 'f1_micro_5': 0.5333333333333333, 'accuracy_7': 0.5083333333333333, 'f1_macro_7': 0.4893828197945845, 'f1_micro_7': 0.5083333333333333}
{'test_size': 0.5, 'outlier_ratio': None, 'random_outlier': True, 'metric': 'euclidean', 'm': 0.7, 'reg': 1.0, 'algo': 'parial-order-gromov', 'accuracy_1': 0.6416666666666667, 'f1_macro_1': 0.637880388109221, 'f1_micro_1': 0.6416666666666667, 'accuracy_3': 0.575, 'f1_macro_3': 0.5625053163211058, 'f1_micro_3': 0.575, 'accuracy_5': 0.5083333333333333, 'f1_macro_5': 0.4979223681151262, 'f1_micro_5': 0.5083333333333333, 'accuracy_7': 0.48333333333333334, 'f1_macro_7': 0.4738845592908354, 'f1_micro_7': 0.48333333333333334}
{'test_size': 0.5, 'outlier_ratio': None, 'random_outlier': True, 'metric': 'euclidean', 'm': 0.7, 'reg': 1.0, 'algo': 'parial-order-gromov', 'accuracy_1': 0.6833333333333333, 'f1_macro_1': 0.6759911501330265, 'f1_micro_1': 0.6833333333333333, 'accuracy_3': 0.5, 'f1_macro_3': 0.5018684472263353, 'f1_micro_3': 0.5, 'accuracy_5': 0.44166666666666665, 'f1_macro_5': 0.4347121106260963, 'f1_micro_5': 0.44166666666666665, 'accuracy_7': 0.4166666666666667, 'f1_macro_7': 0.4104329189190937, 'f1_micro_7': 0.4166666666666667}
{'test_size': 0.5, 'outlier_ratio': None, 'random_outlier': True, 'metric': 'euclidean', 'm': 0.7, 'reg': 1.0, 'algo': 'parial-order-gromov', 'accuracy_1': 0.7416666666666667, 'f1_macro_1': 0.742831084457771, 'f1_micro_1': 0.7416666666666667, 'accuracy_3': 0.6166666666666667, 'f1_macro_3': 0.597600177092168, 'f1_micro_3': 0.6166666666666667, 'accuracy_5': 0.5083333333333333, 'f1_macro_5': 0.501563714063714, 'f1_micro_5': 0.5083333333333333, 'accuracy_7': 0.5, 'f1_macro_7': 0.4922957120537766, 'f1_micro_7': 0.5}
{'test_size': 0.5, 'outlier_ratio': None, 'random_outlier': True, 'metric': 'euclidean', 'm': 0.7, 'reg': 1.0, 'algo': 'parial-order-gromov', 'accuracy_1': 0.7333333333333333, 'f1_macro_1': 0.731828635132983, 'f1_micro_1': 0.7333333333333333, 'accuracy_3': 0.6333333333333333, 'f1_macro_3': 0.617872732536348, 'f1_micro_3': 0.6333333333333333, 'accuracy_5': 0.575, 'f1_macro_5': 0.561733490720703, 'f1_micro_5': 0.575, 'accuracy_7': 0.5666666666666667, 'f1_macro_7': 0.5619913598863919, 'f1_micro_7': 0.5666666666666667}
{'test_size': 0.5, 'outlier_ratio': None, 'random_outlier': True, 'metric': 'euclidean', 'm': 0.7, 'reg': 1.0, 'algo': 'parial-order-gromov', 'accuracy_1': 0.6416666666666667, 'f1_macro_1': 0.6396576756576757, 'f1_micro_1': 0.6416666666666667, 'accuracy_3': 0.6, 'f1_macro_3': 0.6040178575932096, 'f1_micro_3': 0.6, 'accuracy_5': 0.5583333333333333, 'f1_macro_5': 0.5487353269066825, 'f1_micro_5': 0.5583333333333333, 'accuracy_7': 0.48333333333333334, 'f1_macro_7': 0.4659085886349755, 'f1_micro_7': 0.48333333333333334}
{'test_size': 0.5, 'outlier_ratio': None, 'random_outlier': True, 'metric': 'euclidean', 'm': 0.7, 'reg': 10.0, 'algo': 'parial-order-gromov', 'accuracy_1': 0.625, 'f1_macro_1': 0.6176083142639206, 'f1_micro_1': 0.625, 'accuracy_3': 0.48333333333333334, 'f1_macro_3': 0.48243178463577924, 'f1_micro_3': 0.48333333333333334, 'accuracy_5': 0.43333333333333335, 'f1_macro_5': 0.4263303026580713, 'f1_micro_5': 0.43333333333333335, 'accuracy_7': 0.4083333333333333, 'f1_macro_7': 0.40345661321181964, 'f1_micro_7': 0.4083333333333333}
