{'test_size': 0.5, 'outlier_ratio': None, 'random_outlier': False, 'metric': 'euclidean', 'm': None, 'reg': 0.1, 'without_outlier': True, 'algo': 'parial-order-gromov', 'accuracy_1': 0.5, 'f1_macro_1': 0.48100127266947873, 'f1_micro_1': 0.5, 'accuracy_3': 0.38333333333333336, 'f1_macro_3': 0.340735584528688, 'f1_micro_3': 0.38333333333333336, 'accuracy_5': 0.35, 'f1_macro_5': 0.33597366643018817, 'f1_micro_5': 0.35}
{'test_size': 0.5, 'outlier_ratio': None, 'random_outlier': False, 'metric': 'euclidean', 'm': None, 'reg': 0.1, 'without_outlier': True, 'algo': 'parial-order-gromov', 'accuracy_1': 0.6333333333333333, 'f1_macro_1': 0.6341793372319688, 'f1_micro_1': 0.6333333333333333, 'accuracy_3': 0.5166666666666667, 'f1_macro_3': 0.504165605195017, 'f1_micro_3': 0.5166666666666667, 'accuracy_5': 0.5333333333333333, 'f1_macro_5': 0.5196880604775342, 'f1_micro_5': 0.5333333333333333}
{'test_size': 0.5, 'outlier_ratio': None, 'random_outlier': False, 'metric': 'euclidean', 'm': None, 'reg': 1.0, 'without_outlier': True, 'algo': 'parial-order-gromov', 'accuracy_1': 0.75, 'f1_macro_1': 0.7555856896726462, 'f1_micro_1': 0.75, 'accuracy_3': 0.575, 'f1_macro_3': 0.5755547714483107, 'f1_micro_3': 0.575, 'accuracy_5': 0.48333333333333334, 'f1_macro_5': 0.4657594836771038, 'f1_micro_5': 0.48333333333333334}
{'test_size': 0.5, 'outlier_ratio': None, 'random_outlier': False, 'metric': 'euclidean', 'm': None, 'reg': 10.0, 'without_outlier': True, 'algo': 'parial-order-gromov', 'accuracy_1': 0.8333333333333334, 'f1_macro_1': 0.8335434414725033, 'f1_micro_1': 0.8333333333333334, 'accuracy_3': 0.625, 'f1_macro_3': 0.6094742434816058, 'f1_micro_3': 0.625, 'accuracy_5': 0.6666666666666666, 'f1_macro_5': 0.6598204222677906, 'f1_micro_5': 0.6666666666666666}
{'test_size': 0.5, 'outlier_ratio': None, 'random_outlier': False, 'metric': 'euclidean', 'm': None, 'reg': 100.0, 'without_outlier': True, 'algo': 'parial-order-gromov', 'accuracy_1': 0.8583333333333333, 'f1_macro_1': 0.8625540691192866, 'f1_micro_1': 0.8583333333333333, 'accuracy_3': 0.6583333333333333, 'f1_macro_3': 0.6558412166026767, 'f1_micro_3': 0.6583333333333333, 'accuracy_5': 0.575, 'f1_macro_5': 0.565094547003537, 'f1_micro_5': 0.575}
{'test_size': 0.5, 'outlier_ratio': None, 'random_outlier': False, 'metric': 'euclidean', 'm': None, 'reg': 200.0, 'without_outlier': True, 'algo': 'parial-order-gromov', 'accuracy_1': 0.9083333333333333, 'f1_macro_1': 0.9120082815734991, 'f1_micro_1': 0.9083333333333333, 'accuracy_3': 0.6666666666666666, 'f1_macro_3': 0.6431601533675037, 'f1_micro_3': 0.6666666666666666, 'accuracy_5': 0.5916666666666667, 'f1_macro_5': 0.5590571607674202, 'f1_micro_5': 0.5916666666666667}
{'test_size': 0.5, 'outlier_ratio': None, 'random_outlier': False, 'metric': 'euclidean', 'm': None, 'reg': 500.0, 'without_outlier': True, 'algo': 'parial-order-gromov', 'accuracy_1': 0.8333333333333334, 'f1_macro_1': 0.8337067267407361, 'f1_micro_1': 0.8333333333333334, 'accuracy_3': 0.6666666666666666, 'f1_macro_3': 0.6664890806137945, 'f1_micro_3': 0.6666666666666666, 'accuracy_5': 0.4666666666666667, 'f1_macro_5': 0.4519557377838764, 'f1_micro_5': 0.4666666666666667}
{'test_size': 0.5, 'outlier_ratio': None, 'random_outlier': False, 'metric': 'euclidean', 'm': None, 'reg': 0.1, 'without_outlier': True, 'algo': 'parial-order-gromov', 'accuracy_1': 0.6333333333333333, 'f1_macro_1': 0.6172583315051554, 'f1_micro_1': 0.6333333333333333, 'accuracy_3': 0.5083333333333333, 'f1_macro_3': 0.4930601905834105, 'f1_micro_3': 0.5083333333333333, 'accuracy_5': 0.5666666666666667, 'f1_macro_5': 0.5541614500051033, 'f1_micro_5': 0.5666666666666667}
{'test_size': 0.5, 'outlier_ratio': None, 'random_outlier': False, 'metric': 'euclidean', 'm': None, 'reg': 1.0, 'without_outlier': True, 'algo': 'parial-order-gromov', 'accuracy_1': 0.7333333333333333, 'f1_macro_1': 0.7389075924075923, 'f1_micro_1': 0.7333333333333333, 'accuracy_3': 0.6416666666666667, 'f1_macro_3': 0.6418911662115324, 'f1_micro_3': 0.6416666666666667, 'accuracy_5': 0.6166666666666667, 'f1_macro_5': 0.6177017559057537, 'f1_micro_5': 0.6166666666666667}
{'test_size': 0.5, 'outlier_ratio': None, 'random_outlier': False, 'metric': 'euclidean', 'm': None, 'reg': 10.0, 'without_outlier': True, 'algo': 'parial-order-gromov', 'accuracy_1': 0.8166666666666667, 'f1_macro_1': 0.8200688876341051, 'f1_micro_1': 0.8166666666666667, 'accuracy_3': 0.5916666666666667, 'f1_macro_3': 0.5821252284007701, 'f1_micro_3': 0.5916666666666667, 'accuracy_5': 0.5833333333333334, 'f1_macro_5': 0.5526091732263209, 'f1_micro_5': 0.5833333333333334}
{'test_size': 0.5, 'outlier_ratio': None, 'random_outlier': False, 'metric': 'euclidean', 'm': None, 'reg': 100.0, 'without_outlier': True, 'algo': 'parial-order-gromov', 'accuracy_1': 0.8333333333333334, 'f1_macro_1': 0.8333643329850225, 'f1_micro_1': 0.8333333333333334, 'accuracy_3': 0.6333333333333333, 'f1_macro_3': 0.6308367295049216, 'f1_micro_3': 0.6333333333333333, 'accuracy_5': 0.5333333333333333, 'f1_macro_5': 0.5137492200893735, 'f1_micro_5': 0.5333333333333333}
